,NAME_2018,REDFIN_DATA,APARTMENT_LIST_DATA,cbsatitle,cbsa_state
36620,"Ontario, OR-ID Micro Area",,,"Ontario, OR-ID",1636620
36660,"Opelousas, LA Micro Area",,,"Opelousas, LA",2236660
36700,"Orangeburg, SC Micro Area",,,"Orangeburg, SC",4536700
36740,"Orlando-Kissimmee-Sanford, FL Metro Area","Orlando, FL metro area","Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",1236740
36780,"Oshkosh-Neenah, WI Metro Area","Oshkosh, WI metro area","Oshkosh-Neenah, WI","Oshkosh-Neenah, WI",5536780
36820,"Oskaloosa, IA Micro Area",,,"Oskaloosa, IA",1936820
36830,"Othello, WA Micro Area",,,"Othello, WA",5336830
36840,"Ottawa, KS Micro Area",,,"Ottawa, KS",2036840
36860,"Ottawa-Peru, IL Micro Area",,,"Ottawa-Peru, IL",1736860
36900,"Ottumwa, IA Micro Area",,,"Ottumwa, IA",1936900
36940,"Owatonna, MN Micro Area",,,"Owatonna, MN",2736940
36980,"Owensboro, KY Metro Area",,,"Owensboro, KY",2136980
37020,"Owosso, MI Micro Area",,,"Owosso, MI",2637020
37060,"Oxford, MS Micro Area",,,"Oxford, MS",2837060
37080,"Oxford, NC Micro Area",,,"Oxford, NC",3737080
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area","Oxnard, CA metro area","Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",0637100
37120,"Ozark, AL Micro Area",,,"Ozark, AL",0137120
37140,"Paducah, KY-IL Micro Area",,,"Paducah, KY-IL",1737140
37220,"Pahrump, NV Micro Area",,,"Pahrump, NV",3237220
37260,"Palatka, FL Micro Area",,,"Palatka, FL",1237260
37300,"Palestine, TX Micro Area",,,"Palestine, TX",4837300
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area","Palm Bay, FL metro area","Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",1237340
37420,"Pampa, TX Micro Area",,,"Pampa, TX",4837420
37460,"Panama City, FL Metro Area",,"Panama City, FL","Panama City, FL",1237460
37500,"Paragould, AR Micro Area",,,"Paragould, AR",0537500
37540,"Paris, TN Micro Area",,,"Paris, TN",4737540
37580,"Paris, TX Micro Area",,,"Paris, TX",4837580
37620,"Parkersburg-Vienna, WV Metro Area",,,"Parkersburg-Vienna, WV",5437620
37660,"Parsons, KS Micro Area",,,"Parsons, KS",2037660
37740,"Payson, AZ Micro Area",,,"Payson, AZ",0437740
37780,"Pecos, TX Micro Area",,,"Pecos, TX",4837780
37800,"Pella, IA Micro Area",,,,
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",,"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL",1237860
37900,"Peoria, IL Metro Area",,"Peoria, IL","Peoria, IL",1737900
37940,"Peru, IN Micro Area",,,"Peru, IN",1837940
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Philadelphia, PA metro area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1037980
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area","Phoenix, AZ metro area","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",0438060
38100,"Picayune, MS Micro Area",,,"Picayune, MS",2838100
38180,"Pierre, SD Micro Area",,,"Pierre, SD",4638180
38220,"Pine Bluff, AR Metro Area","Pine Bluff, AR metro area",,"Pine Bluff, AR",0538220
38240,"Pinehurst-Southern Pines, NC Micro Area",,,"Pinehurst-Southern Pines, NC",3738240
38260,"Pittsburg, KS Micro Area",,,"Pittsburg, KS",2038260
38300,"Pittsburgh, PA Metro Area","Pittsburgh, PA metro area","Pittsburgh, PA","Pittsburgh, PA",4238300
38340,"Pittsfield, MA Metro Area",,,"Pittsfield, MA",2538340
38380,"Plainview, TX Micro Area",,,"Plainview, TX",4838380
38420,"Platteville, WI Micro Area",,,"Platteville, WI",5538420
38460,"Plattsburgh, NY Micro Area",,,"Plattsburgh, NY",3638460
38500,"Plymouth, IN Micro Area",,,"Plymouth, IN",1838500
38540,"Pocatello, ID Metro Area",,,"Pocatello, ID",1638540
38580,"Point Pleasant, WV-OH Micro Area",,,"Point Pleasant, WV-OH",3938580
38620,"Ponca City, OK Micro Area",,,"Ponca City, OK",4038620
38660,"Ponce, PR Metro Area",,,"Ponce, PR",7238660
38700,"Pontiac, IL Micro Area",,,"Pontiac, IL",1738700
38740,"Poplar Bluff, MO Micro Area",,,"Poplar Bluff, MO",2938740
38780,"Portales, NM Micro Area",,,"Portales, NM",3538780
38820,"Port Angeles, WA Micro Area",,,"Port Angeles, WA",5338820
38840,"Port Clinton, OH Micro Area",,,"Port Clinton, OH",3938840
38860,"Portland-South Portland, ME Metro Area","Portland, ME metro area","Portland-South Portland, ME","Portland-South Portland, ME",2338860
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area","Portland, OR metro area","Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA",4138900
38920,"Port Lavaca, TX Micro Area",,,"Port Lavaca, TX",4838920
38940,"Port St. Lucie, FL Metro Area","Port St. Lucie, FL metro area","Port St. Lucie, FL","Port St. Lucie, FL",1238940
39020,"Portsmouth, OH Micro Area",,,"Portsmouth, OH",3939020
39060,"Pottsville, PA Micro Area",,,"Pottsville, PA",4239060
